id_task,id_user,arrived_del_loc_at,id_telemetry,latitude,longitude,accuracy_radius,android_activity,android_activity_confidence,telemetry_time
60622309,65241,2025-03-18 00:44:07.000000 UTC,13875393,251803093,552641935,100.0,STILL,100.0,2025-03-18 00:44:07.000000 UTC
60622538,18808,2025-03-18 00:44:12.000000 UTC,13876544,251784500,552664453,4.223,WALKING,86.0,2025-03-18 00:44:21.000000 UTC
60622734,96691,2025-03-18 01:17:02.000000 UTC,14043887,251853983,552919000,2.483,TILTING,100.0,2025-03-18 01:17:04.000000 UTC
60622829,93461,2025-03-18 01:27:43.000000 UTC,14094395,252098331,552730805,3.5,STILL,77.0,2025-03-18 01:27:38.000000 UTC
60623020,85937,2025-03-18 02:37:26.000000 UTC,14399099,252082817,552742509,15.919,IN_VEHICLE,96.0,2025-03-18 02:37:26.000000 UTC
60623168,70319,2025-03-18 03:15:10.000000 UTC,14541271,251763821,552718457,14.426,UNKNOWN,40.0,2025-03-18 03:15:06.000000 UTC
60623318,91270,2025-03-18 03:36:07.000000 UTC,14619050,252020157,552527328,3.79,UNKNOWN,40.0,2025-03-18 03:36:06.000000 UTC
60623359,82929,2025-03-18 04:00:13.000000 UTC,14711652,252094441,552747139,3.246,UNKNOWN,40.0,2025-03-18 04:00:12.000000 UTC
60623523,93505,2025-03-18 04:18:08.000000 UTC,14786402,251859984,552742971,12.335,WALKING,96.0,2025-03-18 04:18:21.000000 UTC
60623397,86194,2025-03-18 04:22:26.000000 UTC,14801980,251979779,552665938,66.206,IN_VEHICLE,98.0,2025-03-18 04:22:11.000000 UTC
60623381,95954,2025-03-18 04:13:10.000000 UTC,14764614,251949958,552660960,5.1,ON_BICYCLE,71.0,2025-03-18 04:13:06.000000 UTC
60623698,91884,2025-03-18 04:25:20.000000 UTC,14815421,251889640,552592308,96.38,UNKNOWN,40.0,2025-03-18 04:25:30.000000 UTC
60623858,90224,2025-03-18 04:28:15.000000 UTC,14825971,251909626,552655948,7.39,WALKING,96.0,2025-03-18 04:28:06.000000 UTC
60623934,86526,2025-03-18 04:35:25.000000 UTC,14857575,251926083,552658783,7.1,WALKING,96.0,2025-03-18 04:35:43.000000 UTC
60623641,82584,2025-03-18 04:34:51.000000 UTC,14853300,252068635,552744783,5.28,UNKNOWN,40.0,2025-03-18 04:34:40.000000 UTC
60623814,83447,2025-03-18 04:45:02.000000 UTC,14895984,251803450,552679200,1.183,UNKNOWN,40.0,2025-03-18 04:45:00.000000 UTC
60623793,42311,2025-03-18 04:56:07.000000 UTC,14943255,251914977,552621039,5.056,STILL,49.0,2025-03-18 04:56:06.000000 UTC
60624052,96631,2025-03-18 04:55:08.000000 UTC,14938730,251754764,553090830,52.802,IN_VEHICLE,96.0,2025-03-18 04:55:03.000000 UTC
60623865,96685,2025-03-18 04:52:50.000000 UTC,14928487,251793117,552726167,2.76,IN_VEHICLE,96.0,2025-03-18 04:52:40.000000 UTC
60624081,91884,2025-03-18 04:57:30.000000 UTC,14948853,251897907,552966063,6.34,UNKNOWN,40.0,2025-03-18 04:57:23.000000 UTC
60624234,69829,2025-03-18 05:00:08.000000 UTC,14961497,251898873,552649726,38.803,WALKING,99.0,2025-03-18 05:00:14.000000 UTC
60624084,88846,2025-03-18 05:01:59.000000 UTC,14969060,252071317,552715133,1.266,IN_VEHICLE,95.0,2025-03-18 05:01:54.000000 UTC
60624173,24403,2025-03-18 05:11:29.000000 UTC,15011635,251891601,552608676,20.912,WALKING,96.0,2025-03-18 05:11:28.000000 UTC
60624186,45982,2025-03-18 05:11:13.000000 UTC,15009917,251782143,552746369,26.293,IN_VEHICLE,97.0,2025-03-18 05:11:06.000000 UTC
60624448,11246,2025-03-18 05:14:26.000000 UTC,15023921,251855080,552919890,15.91,IN_VEHICLE,91.0,2025-03-18 05:14:15.000000 UTC
60624631,39801,2025-03-18 05:26:49.000000 UTC,15080279,252037806,552694534,2.75,IN_VEHICLE,96.0,2025-03-18 05:26:46.000000 UTC
60624735,11349,2025-03-18 05:28:01.000000 UTC,15085893,251807836,552637578,3.872,WALKING,96.0,2025-03-18 05:28:00.000000 UTC
60624445,82882,2025-03-18 05:25:25.000000 UTC,15073219,252029671,552818150,6.628,WALKING,92.0,2025-03-18 05:25:12.000000 UTC
60624201,33252,2025-03-18 05:35:27.000000 UTC,15119077,251915545,552742649,119.277,UNKNOWN,40.0,2025-03-18 05:35:14.000000 UTC
60624383,65720,2025-03-18 05:29:43.000000 UTC,15093402,251908317,552645250,4.753,UNKNOWN,40.0,2025-03-18 05:29:38.000000 UTC
60624871,65110,2025-03-18 05:38:43.000000 UTC,15134111,252099927,552729728,3.79,STILL,96.0,2025-03-18 05:38:31.000000 UTC
60624549,35745,2025-03-18 05:35:27.000000 UTC,15120337,251891323,552611777,123.939,IN_VEHICLE,96.0,2025-03-18 05:35:30.000000 UTC
60624916,92659,2025-03-18 05:40:05.000000 UTC,15140370,251867963,552834498,2.1,UNKNOWN,40.0,2025-03-18 05:39:53.000000 UTC
60625481,26118,2025-03-18 05:45:50.000000 UTC,15168067,252015092,552738806,1.916,UNKNOWN,40.0,2025-03-18 05:45:52.000000 UTC
60624778,76495,2025-03-18 05:46:06.000000 UTC,15168869,251851713,552641863,1.5,UNKNOWN,40.0,2025-03-18 05:46:02.000000 UTC
60625070,94120,2025-03-18 05:49:57.000000 UTC,15187160,251913733,552702067,3.757,UNKNOWN,40.0,2025-03-18 05:49:56.000000 UTC
60625224,47372,2025-03-18 05:59:11.000000 UTC,15231488,251999015,552738412,82.5,UNKNOWN,40.0,2025-03-18 05:59:09.000000 UTC
60625330,18521,2025-03-18 06:04:51.000000 UTC,15260431,251918471,552912353,29.7,STILL,46.0,2025-03-18 06:05:03.000000 UTC
60625483,65078,2025-03-18 06:06:14.000000 UTC,15266662,252020297,552727142,100.0,UNKNOWN,40.0,2025-03-18 06:06:19.000000 UTC
60625168,21594,2025-03-18 06:08:41.000000 UTC,15278374,252047087,552697944,1.863,WALKING,97.0,2025-03-18 06:08:44.000000 UTC
60625229,33487,2025-03-18 06:10:19.000000 UTC,15285636,252010055,552725024,116.828,IN_VEHICLE,96.0,2025-03-18 06:10:13.000000 UTC
60625993,91391,2025-03-18 06:24:41.000000 UTC,15358121,252027550,552540150,1.2,IN_VEHICLE,89.0,2025-03-18 06:24:40.000000 UTC
60625846,85572,2025-03-18 06:21:38.000000 UTC,15343583,251900729,552639921,1.833,WALKING,93.0,2025-03-18 06:21:48.000000 UTC
60625845,72652,2025-03-18 06:24:08.000000 UTC,15354697,252001912,552745068,2.15,IN_VEHICLE,91.0,2025-03-18 06:23:59.000000 UTC
60625995,21579,2025-03-18 06:24:14.000000 UTC,15355960,251755388,553092582,1.55,UNKNOWN,40.0,2025-03-18 06:24:14.000000 UTC
60625656,58250,2025-03-18 06:23:18.000000 UTC,15347647,251948014,552662355,9.2,STILL,100.0,2025-03-18 06:22:36.000000 UTC
60626114,10904,2025-03-18 06:27:08.000000 UTC,15369707,251796583,552721067,1.3,UNKNOWN,40.0,2025-03-18 06:26:55.000000 UTC
60626233,82642,2025-03-18 06:31:00.000000 UTC,15390625,252083055,552757875,1.866,IN_VEHICLE,88.0,2025-03-18 06:30:59.000000 UTC
60625945,30139,2025-03-18 06:30:11.000000 UTC,15387458,252104133,552752450,1.6,STILL,100.0,2025-03-18 06:30:22.000000 UTC
60626175,39801,2025-03-18 06:40:31.000000 UTC,15440696,251731433,553053037,141.879,STILL,62.0,2025-03-18 06:40:30.000000 UTC
60626135,60029,2025-03-18 06:38:45.000000 UTC,15431712,252016745,552748934,4.8,STILL,51.0,2025-03-18 06:38:49.000000 UTC
60626462,93348,2025-03-18 06:44:14.000000 UTC,15460545,251736142,553021498,3.79,STILL,100.0,2025-03-18 06:44:10.000000 UTC
60626193,94120,2025-03-18 06:46:09.000000 UTC,15470432,251851005,552619489,1.214,UNKNOWN,40.0,2025-03-18 06:45:59.000000 UTC
60626333,13315,2025-03-18 06:56:49.000000 UTC,15530009,251848274,552785922,65.155,IN_VEHICLE,96.0,2025-03-18 06:56:44.000000 UTC
60627026,58250,2025-03-18 07:06:37.000000 UTC,15587422,251849672,552767481,96.877,STILL,100.0,2025-03-18 07:06:32.000000 UTC
60626889,16682,2025-03-18 07:09:13.000000 UTC,15603421,251919399,552737867,142.208,UNKNOWN,40.0,2025-03-18 07:09:12.000000 UTC
60626951,13038,2025-03-18 07:08:21.000000 UTC,15597080,251883388,552603465,5.163,UNKNOWN,40.0,2025-03-18 07:08:09.000000 UTC
60626938,8593,2025-03-18 07:13:59.000000 UTC,15632129,251845151,552604159,16.298,IN_VEHICLE,97.0,2025-03-18 07:13:54.000000 UTC
60627101,10904,2025-03-18 07:16:31.000000 UTC,15647508,251733069,553022635,1.9,IN_VEHICLE,93.0,2025-03-18 07:16:26.000000 UTC
60627144,81736,2025-03-18 07:16:09.000000 UTC,15645645,252108388,552760522,20.117,IN_VEHICLE,93.0,2025-03-18 07:16:08.000000 UTC
60627306,82051,2025-03-18 07:18:26.000000 UTC,15659177,251129770,552478027,3.79,IN_VEHICLE,98.0,2025-03-18 07:18:21.000000 UTC
60627277,21579,2025-03-18 07:09:32.000000 UTC,15604175,251854847,552643822,2.0,IN_VEHICLE,97.0,2025-03-18 07:09:20.000000 UTC
60627456,13881,2025-03-18 07:21:13.000000 UTC,15677914,251918021,552718289,64.1,UNKNOWN,40.0,2025-03-18 07:21:23.000000 UTC
60627530,47289,2025-03-18 07:21:30.000000 UTC,15677407,251909868,552813742,17.921,IN_VEHICLE,91.0,2025-03-18 07:21:18.000000 UTC
