id_task,mp_Task_nr
60148579,FF3DNN5CYLLE1OA
60392524,FF3FNNY2QF7CC9A
60560312,FF3HNNG3SJXTCFA
60554044,FF3HNNWBV0WUPZA
60143902,FF3DNN0HP5EKRUA
60261456,FF3ENNR0OQ76O9A
60378895,FF3FNN9SRPC19QA
60543126,FF3HNN4MA2IOYPA
60450407,FF3GNNV1XTKVHCA
60604701,FF3HNNIXDZC756A
60628760,NNF3INN49EEM7RVA
60164512,FF3CNN4OODD58QA
60224165,FF3DNN88YG43HYA
60166057,FF3DNNW6OWNUL3A
60222359,FF3DNNEGFX6I5AA
60593009,FF3HNN1IBABY17A
60549054,FF3HNN8YPTK5BSA
60458326,FF3GNNTHURV10EA
60197878,FF3DNNOUJ3GB1AA
60153229,FF3DNN2ND4M3IBA
60359145,NNF3FNNK5WY58NYA
60374334,FF3FNNIT60VOU9A
60175941,FF3DNNHECHL8PYA
60414881,FF3FNN0NFIAF5LA
60440999,FF3GNNBIRKEE02A
60363145,FF3FNNNF8DTL3BA
60149207,FF3DNNF2Y5JMOWA
60358800,FF3FNN0KPAFXO4A
60523886,NNF3GNNK5BODGN9A
60163814,FF3DNN9FDXI9MKA
60566322,FF3HNNSYASG172A
60564084,FF3HNN6RGFEJJYA
60552150,FF3HNN9TXUE6EBA
60168342,FF3DNNAB9SS2L1A
60572715,FF3HNNOZK50Y5PA
60299160,FF3ENNSNZ7TEQDA
60300213,FF3ENNZGRFVTRQA
60323612,FF3ENN7LEGGI13A
60504087,FF3GNNVNVFXTV7A
60342689,NNF3FNN9P73NOZ3A
60143842,FF3DNN6IWPW42ZA
60446429,FF3GNN0W23R5N1A
60150437,FF3DNNLBEK6SQJA
60419706,FF3FNNOH6BJCDKA
60398421,FF3FNNAK6BPGOVA
60638553,FF3INN2LIXAVH3A
60364407,FF3FNN4D17A41VA
60629772,FF3INNLN1FHL7RA
60135373,FF3CNN28MWAZJ9A
60245581,FF3ENNLY3YP89FA
60446155,FF3GNNJ1YE72PVA
60547208,FF3HNN33KBABO2A
60508176,FF3GNN6XE8B71JA
60631764,FF3INNSZUGY5ESA
60607814,FF3HNNPPOUHVGNA
60444594,FF3GNNACN75NMCA
60547381,FF3HNN56GSPILZA
60150153,FF3DNNG4U067NZA
60194405,FF3DNNFRFXF4NLA
60334755,FF3ENNLNXL066UA
60364745,FF3FNNYD68VHGYA
60583241,FF3HNNSNJ9KSSPA
60472240,FF3GNN84Q0PVA5A
60548920,FF3HNN9QAE02EYA
60261587,FF3ENN7BY8429SA
60287113,FF3ENN6LPCK9B1A
60425618,FF3FNNTMJRM6I1A
60525401,FF3GNN6LKYNTFWA
60215513,FF3DNNQASRJ0CQA
60559120,FF3HNNWWJ6GZYMA
60145036,FF3DNNG6OF3LRNA
60610076,FF3HNNCSRP93C7A
60261662,FF3ENNUFKVSDIKA
60256925,NNF3ENNBI6841IGA
60467198,FF3GNNM8C1XJGWA
60568882,FF3HNN2M40X60KA
60568618,FF3HNN8IC0GAQRA
60467942,FF3GNNB26IF693A
60340968,FF3FNN5N1CAU3PA
60360713,FF3FNNC2E922DEA
60150201,FF3DNNYXD2RPPEA
60421384,FF3FNNSEL89X1YA
60149894,FF3DNNQA56DSJVA
60541841,FF3HNNVSABDZOZA
60236604,FF3ENNAPUL3ANHA
60216883,FF3DNNXMLBR3DYA
60506714,FF3GNNL8HAUK92A
60162462,FF3DNNT7D3TZQLA
60274783,FF3ENNU89017OVA
60196283,FF3DNN9V22X3GAA
60324481,FF3ENNY1ZCO1K4A
60482508,FF3GNNQL6TE7D6A
60322703,FF3ENNFPJOSCGMA
60243638,FF3ENNUAI6GBV9A
60149841,FF3DNN0E0J207QA
60288001,FF3ENNFPACOENRA
60392226,FF3FNNT3DN3GFBA
60500559,FF3GNNOWD5DXZBA
60555040,FF3HNNFR6S4WS4A
60155098,FF3DNNFH36FLZ9A
60612281,FF3HNNNAVM1IIGA
60338322,FF3FNN8HOK5Q3RA
60542175,FF3HNNPLD1HHJQA
60152175,FF3DNN5NN08CX3A
60470784,FF3GNN6SM44WTIA
60456913,FF3GNNBTR0HCZEA
60180222,FF3DNNCZDBX7GEA
60388320,FF3FNNBROGIFY7A
60396294,FF3FNNDXD5JH89A
60153807,FF3DNNDI0BUA87A
60558906,FF3ENNIKLYR4G2A
60628919,FF3INN3ZQWQY0SA
60620069,FF3HNNKJ97O941A
60199221,FF3DNN09GBFD73A
60405748,FF3FNNSPDZSXVHA
60628002,FF3INNEHSJ9GRPA
60228113,FF3DNNXG1P2I4KA
60625224,FF3INNPVCAN2LSA
60198485,FF3DNN4GOXQJBEA
60146774,FF3DNNWGVBAFYBA
60216781,FF3DNNDHVPHKAUA
60636555,FF3INN4AOP2S5KA
60525440,FF3GNNG5NK9K9YA
60219911,FF3DNN8Z1RUTLFA
60379621,FF3FNNDXN9Z14ZA
60358048,FF3FNNDZTSPAX3A
60170297,NNF3DNN3FSELWJYA
60262995,NNF3ENNC7DSFUMNA
60480395,FF3GNNK0L5IP85A
60134536,FF3CNNQOHU5H3RA
60577485,FF3HNND2XEBEGHA
60629493,FF3INN057ROQPWA
60221480,FF3DNNTNKC38JGA
60279847,FF3ENNX3CSUMOPA
60598649,FF3HNN10ANO8LLA
60338431,FF3FNNA1O3LGWFA
60311538,FF3ENNKXVXQET0A
60205484,FF3DNNSA9UFP2HA
60430732,FF3FNNTN31HE8IA
60376143,FF3FNN0QQIKNYTA
60599316,FF3HNNRMOQKX3FA
60547702,FF3HNNK2KVRZJ7A
60599973,FF3HNNH1I98R8KA
60302585,FF3ENNM4B44HOUA
60161416,FF3DNNLQ5LB5C5A
60151249,FF3DNN9QLRDWE8A
60444099,NNF3GNNKEUZSHLXA
60496531,FF3GNNGAZ0PQ8BA
60409117,FF3FNNAB0WZTQ8A
60302954,FF3ENNWOZM9PP7A
60237189,FF3ENNQZXMM8H4A
60339903,FF3FNNPWWWUK8ZA
60341143,FF3FNN9JWW7FOGA
60210620,FF3DNNCY71NRQSA
60554278,FF3HNNR8VB53J6A
60610807,FF3HNN61FVF8SNA
60534612,FF3GNNVZ38RNHCA
60583175,FF3HNNLQQT5S24A
60397950,FF3FNN9LD3KP25A
60573120,FF3HNN0ATC4ZZ8A
60616707,FF3HNNGF4GHSQGA
60575081,FF3HNN3UOWP6WWA
60562815,FF3HNNIAPXOFQUA
60204141,FF3DNN120D49DUA
60497958,FF3GNNPKCNX1FEA
60164229,FF3DNNTSNXC3B2A
60614538,FF3HNNMUCRES6UA
60439436,FF3GNNYRIQ1PWXA
60576390,FF3HNNCC8ZIE4UA
60320167,FF3ENNBJCL4BVSA
60547501,FF3HNN0Q5X4HKYA
60550852,FF3HNN61JH8900A
60258541,FF3ENNRGIL29PGA
60590118,FF3HNNW3IZ61IIA
60418357,FF3FNNCR8OI6GKA
60343901,FF3FNNE2IYO68SA
60397605,FF3FNNP6PMEGS1A
60624549,FF3INNZEK6EAKDA
60559140,FF3HNN0J9KJCVYA
60175556,FF3DNNJM29TYQSA
60558848,FF3HNN101687LZA
60307678,FF3ENN0Z6OVON9A
60294285,FF3ENN5DRIWPA9A
60451439,FF3GNNC2SICRQ0A
60238281,FF3ENN1PZZBM2UA
60571919,FF3HNNYAOM7CWMA
60321355,FF3ENN66O14F0FA
60549598,FF3HNNY093OTG9A
60334178,FF3ENNETH3UMMDA
60573569,FF3HNNUHVCI82EA
60313926,FF3ENNN3P6T3QUA
60225121,FF3DNNTDQIQOW1A
60190537,FF3DNN3HZK0TU9A
60520385,FF3GNNGCRTPTRUA
60194309,FF3DNNZ4O3Y6TFA
60245134,FF3ENNF2Y36JBHA
60205510,FF3DNNKH6B31IHA
60240624,FF3ENNH5DY9Y4BA
60439060,FF3GNNB0QM0MSHA
60529107,FF3GNNUCCHVGF4A
60233594,FF3DNNQHV6NVPEA
60545434,FF3HNN88GI3RCTA
60357766,FF3FNNNN897M9PA
60498988,FF3GNNE9VN4G3FA
60531462,FF3GNNDW726FZ8A
60152751,NNF3DNNSBVIYKJAA
60245904,FF3ENNBW9HMIERA
60309451,FF3ENNK3OFUPBVA
60262373,FF3ENNRMET5SW5A
60223088,FF3DNNI50Z4TQ5A
60434327,FF3FNNKDZZ6704A
60221255,FF3DNND7MUVC89A
60377529,FF3FNNS0B57YAZA
60310410,FF3ENN5AOW4K60A
60276137,FF3ENNTJ00VKF9A
60451449,FF3GNNBEMZX7LNA
60435995,FF3FNNAKXIH00VA
60495974,FF3GNN9EXCBGOQA
60340616,FF3FNNOWN0B41EA
60608613,FF3HNNL0QEJHULA
60625229,FF3INNDY6XAYOBA
60541235,FF3HNNYDUH48LLA
60548260,FF3HNNID1MA6STA
60238841,FF3ENNRV2M46P5A
60492127,FF3GNNGUJ3GZVSA
60291735,FF3ENNXVNM1YSLA
60481836,FF3GNNT6VUNWMGA
60453427,FF3GNNLJE28J9NA
60495077,FF3GNN4FLESF5FA
60285928,FF3ENN6A0Q4WFMA
60220903,FF3DNN8NF7LCJCA
60524657,FF3GNNFU13RIVHA
60554605,FF3HNNU9I3KSM5A
60402577,FF3FNNQCHW13KOA
60151530,FF3DNNDZCOVDCBA
60303197,NNF3ENNDTSNBS4YA
60412990,FF3FNNYQWZ2ZFNA
60145612,FF3DNNYGJRWKHTA
60148897,FF3DNNVZKKAQUQA
60548864,FF3HNNLD9NJSY1A
60556433,FF3HNN4D1WJ55QA
60505128,FF3GNNP74LSLU5A
60544023,FF3HNNDSXQ0HQGA
60276050,FF3ENNIRVKC9UTA
60177254,FF3DNN3RFWC7DDA
60214539,FF3DNNXNY8BLM2A
60246646,FF3ENN4Q0989YXA
60630649,FF3INNI65IVUWOA
60557930,FF3HNNUGGGGZGLA
60154073,FF3DNNAQLT7GQKA
60547202,NNF3HNNXNYP0NQBA
60129517,FF3CNNV8CLRJJJA
60164536,FF3DNNJEJ5W2SNA
60238566,FF3ENNA4BY13RBA
60557081,FF3HNN3HEEITDZA
60237431,FF3ENN4J6CCWUXA
60629327,FF3INNZHQBXY79A
60381573,FF3FNNYX2A2UCGA
60192902,FF3DNNWNFUNTXBA
60339024,FF3FNN4TJLKLACA
60472495,NNF3GNN7D3KKA9TA
60252197,FF3ENNWK2EQZ95A
60171639,FF3DNNU96VQOJHA
60502270,FF3GNNN9ABPGQGA
60241413,NNF3ENN6P6YAHJGA
60362577,FF3FNNDWFDUH6WA
60340168,FF3FNNUSPZW9K9A
60476691,FF3GNNGJ65606JA
60373672,FF3FNN5QKVOH7NA
60339995,FF3FNNOM6LWKLPA
60163530,FF3DNNS565FO86A
60240961,FF3ENN6SSQSC81A
60259667,FF3ENN5AS7JEDDA
60237047,FF3ENNURQWOFQ6A
60213747,FF3DNNZVSF9N0LA
60260313,FF3ENN0XHN5F6YA
60292315,FF3ENND0NB8EC5A
60595561,FF3HNNGNP9ET3BA
60551687,FF3HNNOXL4DGJUA
60260156,FF3ENNUNDJALHRA
60544479,NNF3HNNMCP67NIQA
60351688,FF3FNNLFYH4OK2A
60505331,FF3GNNJP02CR7MA
60252795,FF3ENNMWMBSZMIA
60252715,FF3ENNSUQJ8CSBA
60464415,FF3GNN03MMVTT1A
60553096,NNF3HNNOTYKM03TA
60602446,FF3HNNL7D75OLIA
60227828,FF3DNNDWYA4VKSA
60615320,FF3HNN50TIGF37A
60628182,FF3INNQO57M2G0A
