id_task,id_user,arrived_del_loc_at
60622309,65241,2025-03-18 00:44:07.000000 UTC
60622538,18808,2025-03-18 00:44:12.000000 UTC
60622734,96691,2025-03-18 01:17:02.000000 UTC
60622829,93461,2025-03-18 01:27:43.000000 UTC
60623020,85937,2025-03-18 02:37:26.000000 UTC
60623168,70319,2025-03-18 03:15:10.000000 UTC
60623318,91270,2025-03-18 03:36:07.000000 UTC
60623359,82929,2025-03-18 04:00:13.000000 UTC
60623523,93505,2025-03-18 04:18:08.000000 UTC
60623397,86194,2025-03-18 04:22:26.000000 UTC
60623381,95954,2025-03-18 04:13:10.000000 UTC
60623698,91884,2025-03-18 04:25:20.000000 UTC
60623858,90224,2025-03-18 04:28:15.000000 UTC
60623934,86526,2025-03-18 04:35:25.000000 UTC
60623641,82584,2025-03-18 04:34:51.000000 UTC
60623814,83447,2025-03-18 04:45:02.000000 UTC
60623793,42311,2025-03-18 04:56:07.000000 UTC
60624052,96631,2025-03-18 04:55:08.000000 UTC
60623865,96685,2025-03-18 04:52:50.000000 UTC
60624081,91884,2025-03-18 04:57:30.000000 UTC
60624234,69829,2025-03-18 05:00:08.000000 UTC
60624084,88846,2025-03-18 05:01:59.000000 UTC
60624173,24403,2025-03-18 05:11:29.000000 UTC
60624186,45982,2025-03-18 05:11:13.000000 UTC
60624448,11246,2025-03-18 05:14:26.000000 UTC
60624631,39801,2025-03-18 05:26:49.000000 UTC
60624735,11349,2025-03-18 05:28:01.000000 UTC
60624445,82882,2025-03-18 05:25:25.000000 UTC
60624201,33252,2025-03-18 05:35:27.000000 UTC
60624383,65720,2025-03-18 05:29:43.000000 UTC
60624871,65110,2025-03-18 05:38:43.000000 UTC
60624549,35745,2025-03-18 05:35:27.000000 UTC
60624916,92659,2025-03-18 05:40:05.000000 UTC
60625481,26118,2025-03-18 05:45:50.000000 UTC
60624778,76495,2025-03-18 05:46:06.000000 UTC
60625070,94120,2025-03-18 05:49:57.000000 UTC
60625224,47372,2025-03-18 05:59:11.000000 UTC
60625330,18521,2025-03-18 06:04:51.000000 UTC
